N Insercio Bombolla Fusio
31200 1.84 5.91 0.02
31300 1.86 5.91 0.02
31400 1.87 5.93 0.02
31500 1.88 5.99 0.02
31600 1.90 6.05 0.02
31700 1.90 6.00 0.02
31800 1.93 6.08 0.02
31900 1.93 6.16 0.02
32000 1.95 6.16 0.02
32100 1.95 6.22 0.02
32200 1.96 6.29 0.02
32300 1.97 6.24 0.02
32400 2.00 6.37 0.02
32500 2.01 6.36 0.02
32600 2.03 6.36 0.02
32700 2.03 6.42 0.02
32800 2.04 6.48 0.02
32900 2.04 6.54 0.02
33000 2.07 6.50 0.02
33100 2.08 6.63 0.02
33200 2.10 6.63 0.02
33300 2.10 6.73 0.02
33400 2.10 6.68 0.02
33500 2.14 6.81 0.02
33600 2.14 6.81 0.02
33700 2.16 6.82 0.02
33800 2.16 6.83 0.02
33900 2.18 6.91 0.02
34000 2.18 6.97 0.02
34100 2.20 6.98 0.02
34200 2.20 7.06 0.02
34300 2.22 7.10 0.02
34400 2.23 7.08 0.02
34500 2.24 7.20 0.02
34600 2.24 7.14 0.02
34700 2.28 7.29 0.02
34800 2.30 7.26 0.02
34900 2.29 7.33 0.02
35000 2.29 7.36 0.02
35100 2.33 7.46 0.02
35200 2.36 7.47 0.02
35300 2.38 7.48 0.03
35400 2.37 7.55 0.03
35500 2.38 7.57 0.03
35600 2.40 7.62 0.02
35700 2.41 7.66 0.02
35800 2.41 7.71 0.03
35900 2.44 7.76 0.03
36000 2.43 7.73 0.03
36100 2.46 7.84 0.03
36200 2.47 7.91 0.03
36300 2.50 7.99 0.03
36400 2.52 7.97 0.03
36500 2.51 8.03 0.03
36600 2.53 8.08 0.03
36700 2.56 8.15 0.03
36800 2.56 8.21 0.03
36900 2.57 8.20 0.03
37000 2.57 8.20 0.03
37100 2.59 8.25 0.03
37200 2.60 8.30 0.03
37300 2.62 8.32 0.03
37400 2.64 8.47 0.03
37500 2.67 8.44 0.03
37600 2.67 8.48 0.03
37700 2.68 8.54 0.03
37800 2.70 8.64 0.03
37900 2.72 8.62 0.03
38000 2.76 8.67 0.03
38100 2.76 8.71 0.03
38200 2.77 8.79 0.03
38300 2.79 8.82 0.03
38400 2.77 8.88 0.03
38500 2.80 8.97 0.03
38600 2.81 8.91 0.03
38700 2.84 9.01 0.03
38800 2.85 9.04 0.03
38900 2.84 9.10 0.03
39000 2.86 9.15 0.03
39100 2.89 9.24 0.03
39200 2.89 9.29 0.03
39300 2.91 9.26 0.03
39400 2.94 9.41 0.03
39500 2.94 9.41 0.03
39600 2.99 9.42 0.03
39700 2.97 9.40 0.03
39800 2.99 9.48 0.03
39900 3.01 9.56 0.03
40000 3.00 9.61 0.03
40100 3.02 9.68 0.03
40200 3.05 9.73 0.03
40300 3.07 9.95 0.03
40400 3.07 9.75 0.03
40500 3.11 9.81 0.03
40600 3.12 9.97 0.03
40700 3.12 9.95 0.03
40800 3.15 10.01 0.03
40900 3.15 10.04 0.03
41000 3.17 10.15 0.03
41100 3.20 10.13 0.03
41200 3.22 10.30 0.03
41300 3.20 10.20 0.03
41400 3.24 10.28 0.03
41500 3.22 10.35 0.03
41600 3.27 10.40 0.03
41700 3.29 10.46 0.03
41800 3.29 10.50 0.03
41900 3.32 10.51 0.03
42000 3.34 10.57 0.03
42100 3.33 10.65 0.03
42200 3.35 10.75 0.03
42300 3.37 10.78 0.03
42400 3.41 10.75 0.03
42500 3.42 10.95 0.03
42600 3.42 10.83 0.03
42700 3.46 11.06 0.03
42800 3.46 10.97 0.03
42900 3.46 11.00 0.03
43000 3.51 11.04 0.03
43100 3.52 11.11 0.03
43200 3.53 11.18 0.03
43300 3.51 11.20 0.03
43400 3.57 11.37 0.03
43500 3.58 11.39 0.03
43600 3.61 11.47 0.03
43700 3.57 11.50 0.03
43800 3.64 11.48 0.03
43900 3.65 11.65 0.03
44000 3.64 11.77 0.03
44100 3.67 11.72 0.03
44200 3.67 11.79 0.03
44300 3.69 11.89 0.03
44400 3.71 11.85 0.03
44500 3.73 11.83 0.03
44600 3.75 11.97 0.03
44700 3.77 12.02 0.03
44800 3.77 12.03 0.03
44900 3.81 12.11 0.03
45000 3.82 12.21 0.03
45100 3.85 12.25 0.03
45200 3.85 12.23 0.03
45300 3.84 12.32 0.03
45400 3.89 12.32 0.03
45500 3.91 12.42 0.03
45600 3.91 12.56 0.03
45700 3.93 12.53 0.03
45800 3.97 12.59 0.03
45900 3.95 12.72 0.03
46000 4.03 12.78 0.04
46100 4.03 12.90 0.03
46200 4.04 12.79 0.03
46300 4.06 12.98 0.03
46400 4.08 13.01 0.03
46500 4.07 12.89 0.03
46600 4.09 12.99 0.03
46700 4.11 13.15 0.03
46800 4.11 13.39 0.03
46900 4.15 13.18 0.03
47000 4.17 13.30 0.03
47100 4.18 13.24 0.03
47200 4.19 13.47 0.04
47300 4.18 13.36 0.04
47400 4.23 13.57 0.04
47500 4.25 13.65 0.04
47600 4.30 13.64 0.04
47700 4.28 13.78 0.04
47800 4.27 13.79 0.04
47900 4.32 13.72 0.04
48000 4.34 13.88 0.04
48100 4.37 13.95 0.04
48200 4.37 14.05 0.04
48300 4.39 14.09 0.04
48400 4.38 14.15 0.04
48500 4.48 14.25 0.04
48600 4.43 14.22 0.04
48700 4.49 14.36 0.04
48800 4.48 14.33 0.04
48900 4.52 14.35 0.04
49000 4.55 14.50 0.04
49100 4.56 14.55 0.04
49200 4.55 14.57 0.04
49300 4.57 14.62 0.04
49400 4.59 14.71 0.04
49500 4.63 14.81 0.04
49600 4.62 14.85 0.04
49700 4.66 14.94 0.04
49800 4.66 14.89 0.04
49900 4.66 14.96 0.04
50000 4.73 15.00 0.04
50100 4.72 15.16 0.04
50200 4.76 15.22 0.04
50300 4.80 15.13 0.04
50400 4.79 15.18 0.04
50500 4.79 15.40 0.04
50600 4.82 15.48 0.04
50700 4.85 15.59 0.04
50800 4.88 15.58 0.04
50900 4.89 15.54 0.04
51000 4.88 15.53 0.04
51100 4.90 15.58 0.04
51200 4.94 15.79 0.04
51300 4.98 15.93 0.04
51400 4.98 15.95 0.04
51500 5.02 16.08 0.04
51600 5.03 16.02 0.04
51700 5.05 16.07 0.04
51800 5.06 16.16 0.04
51900 5.06 16.21 0.04
52000 5.18 16.70 0.04
52100 5.32 16.62 0.04
52200 5.13 16.40 0.04
52300 5.15 16.40 0.04
52400 5.18 16.61 0.04
52500 5.19 16.69 0.04
52600 5.21 16.74 0.04
52700 5.23 16.66 0.04
52800 5.26 16.83 0.04
52900 5.32 16.94 0.04
53000 5.32 16.96 0.04
53100 5.32 16.92 0.04
53200 5.36 17.10 0.04
53300 5.37 17.12 0.04
53400 5.36 17.24 0.04
53500 5.42 17.45 0.04
53600 5.42 17.42 0.04
53700 5.46 17.26 0.04
